"(<class '__main__.SNN_Baseline'>, 25, 0.95, 10000, 1)",0.9464
"(<class '__main__.SNN_Baseline'>, 25, 0.95, 3000, 1)",0.938
"(<class '__main__.SNN_Large'>, 25, 0.95, 3000, 1)",0.9033
"(<class '__main__.SNN_Baseline'>, 25, 0.95, 3000, 2)",0.9656
"(<class '__main__.SNN_Baseline'>, 25, 0.95, 10000, 2)",0.9576
"(<class '__main__.SNN_Large'>, 25, 0.95, 3000, 2)",0.8959
"(<class '__main__.SNN_Baseline'>, 5, 0.95, 3000, 2)",0.9362
"(<class '__main__.SNN_Baseline'>, 10, 0.95, 3000, 2)",0.9502
"(<class '__main__.SNN_Baseline'>, 15, 0.95, 3000, 2)",0.959
"(<class '__main__.SNN_Baseline'>, 20, 0.95, 3000, 2)",0.9523
"(<class '__main__.SNN_Baseline'>, 30, 0.95, 3000, 2)",0.9583
"(<class '__main__.SNN_Baseline'>, 40, 0.95, 1000, 1)",0.9215
"(<class '__main__.SNN_Baseline'>, 40, 0.95, 1000, 2)",0.9478
"(<class '__main__.SNN_Baseline'>, 40, 0.95, 3000, 2)",0.9423
"(<class '__main__.SNN_Large'>, 40, 0.95, 3000, 2)",0.9081
"(<class '__main__.SNN_Clamp'>, 40, 0.95, 3000, 2)",0.8842
"(<class '__main__.SNN_Clamp'>, 40, 0.95, 5000, 2)",0.9067
"(<class '__main__.SNN_Baseline'>, 25, 0.95, 3000, 10)",0.9659
"(<class '__main__.SNN_Clamp'>, 40, 0.95, 5000, 20)",0.9587
"(<class '__main__.SNN_Baseline'>, 25, 0.95, 3000, 30)",0.9736
"(<class '__main__.SNN_Clamp'>, 40, 0.95, 5000, 30)",0.9706
"(<class '__main__.SNN_Baseline'>, 10, 0.95, 3000, 30)",0.9522
"(<class '__main__.SNN_Baseline'>, 10, 0.95, 3000, 60)",0.9712
"(<class '__main__.SNN_Baseline'>, 40, 0.95, 5000, 30)",0.9748
"(<class '__main__.SNN_Baseline'>, 10, 0.95, 3000, 90)",0.9539
